TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionTime,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,AmountBalance,TransactionPreviousDifferenceDays
TX000001,AC00128,14.09,11-04-2023,16:29:00,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,0.002756147,572.6520139
TX000002,AC00455,376.24,27-06-2023,16:44:00,Debit,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91,0.027345189,495.6425463
TX000003,AC00019,126.29,10-07-2023,18:16:00,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,0.112522832,482.577037
TX000004,AC00070,184.5,05-05-2023,16:32:00,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,0.02153095,548.6506366
TX000005,AC00411,13.45,16-10-2023,17:51:00,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,0.001810375,384.5939236
TX000006,AC00393,92.15,03-04-2023,17:15:00,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,0.117887115,580.6191551
TX000007,AC00199,7.08,15-02-2023,16:36:00,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,0.000531663,627.6481597
TX000008,AC00069,171.42,08-05-2023,17:47:00,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,0.061303751,545.5992593
TX000009,AC00135,106.23,21-03-2023,16:59:00,Credit,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14,0.011679864,593.632963
TX000010,AC00385,815.96,31-03-2023,16:06:00,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88,0.798489059,583.6663773
TX000011,AC00150,17.78,14-03-2023,16:46:00,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,7599.52,0.002339621,600.639294
TX000012,AC00459,190.02,06-02-2023,17:30:00,Debit,Memphis,D000589,116.175.11.222,M030,Online,21,Student,173,1,1528.81,0.124292751,636.6091667
TX000013,AC00392,494.52,07-06-2023,17:21:00,Credit,Mesa,D000032,210.98.198.143,M057,Branch,24,Student,111,1,1620.02,0.305255491,515.616088
TX000014,AC00264,781.76,20-11-2023,16:39:00,Debit,Memphis,D000054,193.83.0.183,M025,ATM,26,Student,123,1,189.69,4.121250461,349.6443403
TX000015,AC00085,166.99,13-02-2023,16:53:00,Debit,Louisville,D000309,188.124.181.12,M017,Online,18,Student,134,1,299.93,0.556763245,629.63625
TX000016,AC00270,465.45,12-12-2023,16:23:00,Debit,Denver,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,3465.54,0.134308073,327.6588889
TX000017,AC00317,555.8,30-10-2023,16:52:00,Credit,Austin,D000671,53.218.177.171,M048,Branch,19,Student,158,1,1131.26,0.491310574,370.6352546
TX000018,AC00359,492.93,14-12-2023,18:32:00,Debit,Columbus,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,5109.97,0.096464363,325.5691782
TX000019,AC00242,18.68,21-02-2023,16:56:00,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,59,Retired,106,1,7948.37,0.002350167,621.635544
TX000020,AC00285,71.48,08-06-2023,18:18:00,Credit,Columbus,D000039,120.170.93.69,M039,Online,18,Student,169,1,6568.59,0.010882092,514.5767361
TX000021,AC00002,59.32,28-02-2023,16:36:00,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,0.010314925,614.6475231
TX000022,AC00014,85.77,11-08-2023,18:31:00,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,0.009377675,450.5671528
TX000023,AC00095,52.2,06-06-2023,18:54:00,Debit,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93,0.005816201,516.5505324
TX000024,AC00453,345.84,02-05-2023,18:25:00,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,22,Student,142,3,1402.5,0.246588235,551.5703472
TX000025,AC00241,145.54,02-03-2023,16:43:00,Debit,Raleigh,D000036,119.186.154.104,M028,Online,21,Student,96,1,1930.96,0.075371836,612.6411227
TX000026,AC00041,7.49,20-10-2023,17:53:00,Credit,Houston,D000671,81.248.235.147,M043,Online,65,Retired,276,1,3634.67,0.00206071,380.5948032
TX000027,AC00441,246.93,17-04-2023,16:37:00,Debit,Miami,D000046,55.154.161.250,M029,ATM,23,Student,158,5,673.35,0.366718646,566.6490394
TX000028,AC00057,40.32,29-03-2023,16:42:00,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,37,Engineer,95,1,2686.52,0.015008263,585.6453819
TX000029,AC00390,127.45,24-01-2023,16:18:00,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,44,Doctor,197,1,1772.06,0.071921944,649.6616898
TX000030,AC00313,56.17,20-09-2023,16:55:00,Debit,Detroit,D000297,33.28.138.82,M043,Branch,27,Student,283,1,1351.69,0.041555386,410.6338889
TX000031,AC00367,28.31,17-07-2023,17:49:00,Credit,Miami,D000587,35.67.21.23,M091,Online,59,Doctor,20,1,8334.47,0.003396737,475.5971644
TX000032,AC00291,59.12,06-02-2023,16:24:00,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,29,Doctor,257,1,9823.64,0.006018136,636.6545602
TX000033,AC00060,396.45,25-09-2023,16:26:00,Debit,New York,D000621,133.67.250.163,M007,ATM,49,Engineer,168,3,9690.15,0.040912679,405.6564005
TX000034,AC00359,877.81,13-03-2023,17:23:00,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,22,Student,150,1,399,2.200025063,601.6141898
TX000035,AC00365,255.26,27-10-2023,16:42:00,Credit,San Francisco,D000357,92.214.76.157,M002,Branch,45,Doctor,50,1,14815.87,0.017228823,373.6444676
TX000036,AC00267,124.76,16-10-2023,16:32:00,Debit,Seattle,D000042,59.145.242.13,M002,Branch,49,Engineer,45,1,5764.72,0.021641988,384.6482292
TX000037,AC00404,78.13,21-11-2023,16:58:00,Debit,Milwaukee,D000250,33.28.138.82,M028,Branch,26,Student,145,1,900.61,0.086752312,348.6344213
TX000038,AC00202,649.28,02-03-2023,17:53:00,Debit,San Jose,D000448,73.108.76.238,M074,ATM,75,Retired,137,1,4875.86,0.13316215,612.5956366
TX000039,AC00478,795.31,12-10-2023,17:07:00,Debit,Mesa,D000077,49.29.37.185,M048,ATM,66,Doctor,90,2,7914.88,0.100482888,388.6275116
TX000040,AC00405,335.63,24-01-2023,17:17:00,Debit,Oklahoma City,D000038,49.20.211.229,M040,Online,55,Retired,216,1,1019.39,0.329245922,649.6181944
TX000041,AC00421,328.47,31-07-2023,18:39:00,Debit,San Antonio,D000557,6.234.101.35,M014,ATM,63,Retired,119,1,4323.66,0.075970358,461.5608912
TX000042,AC00480,34.02,09-01-2023,16:13:00,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,38,Doctor,19,1,14214.48,0.002393334,664.6655556
TX000043,AC00120,241.42,20-04-2023,18:57:00,Credit,Charlotte,D000198,60.89.202.192,M044,Online,57,Doctor,116,1,13357.02,0.018074391,563.549537
TX000044,AC00117,55.32,12-04-2023,16:03:00,Debit,Tucson,D000197,173.135.78.201,M009,ATM,19,Student,117,1,241.79,0.228793581,571.6697454
TX000045,AC00011,304.31,26-07-2023,16:52:00,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,868.61,0.35034135,466.6370949
TX000046,AC00401,435.27,04-10-2023,17:49:00,Debit,Chicago,D000297,197.162.55.147,M051,Branch,74,Retired,90,1,4673.28,0.09314015,396.5984144
TX000047,AC00282,164.49,13-12-2023,16:01:00,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,26,Student,75,1,1509.27,0.108986464,326.6728588
